"Ranking,Name,ELO,PlayedGames"
"1,YT:DanTheMan,312.0,2394"
"2,YouTube:azasiterri,275.4,3791"
"3,[wire]QueeringTheMap,273.2,1459"
"4,[Corgi]Ressemblance,271.8,515"
"5,DanTheMan,257.3,440"
"6,imightbeautistic,256.6,2457"
"7,[Corgi]Luxus,252.2,281"
"8,freddowashedfrfr,249.9,876"
"9,Player698,247.9,3278"
"10,YT:DanTheCat,247.4,1153"
"11,Player332,245.7,757"
"12,[Wire]oi,244.8,2630"
"13,TeLeJѺ,240.8,6565"
"14,Greenbiscuit,238.2,1885"
"15,[wire]Dr.No,232.5,7257"
"16,firefly;-;,227.9,412"
"17,[OG]Frozen,222.6,598"
"18,[VOID]Zora,217.4,215"
"19,roadrunner,213.6,1015"
"20,guru,212.6,586"
"21,Urbino,210.0,358"
"22,[Waifu]Coru,205.6,164"
"23,[OG]Treysa,205.6,156"
"24,oboneo,204.6,409"
"25,pop,204.2,429"
"26,Zuer10,204.2,262"
"27,[PL]Hosltkk,203.4,210"
"28,nak(himellow),202.0,191"
"29,Norris,201.7,895"
"30,[IND]Universe,199.8,725"
"31,CandyCloud,198.9,918"
"32,[Waifu]Keqing,197.1,1274"
"33,[OG]Desolair,196.3,115"
"34,babayaga,194.3,572"
"35,Pack98,192.5,704"
"36,Frieren,190.9,777"
"37,[og]VillorXArro,190.7,502"
"38,Antagonist,190.6,212"
"39,MegaTiltGamingGG,189.2,1277"
"40,Zuer40,189.2,115"
"41,Hannibal,189.0,73"
"42,[WIRE]Pewkmon,188.8,267"
"43,раздражающийнегр,187.7,472"
"44,Player954,187.5,229"
"45,kram,187.5,981"
"46,pemmel,187.0,520"
"47,[WIRE]Pewkmon,186.0,498"
"48,Dieuniversigga,185.0,335"
"49,[OG]jupiter,184.7,264"
"50,Player67,184.6,944"
"51,[Soyjak]'apeCorgi,183.4,225"
"52,[Waifu]Mememe,183.4,719"
"53,[OG]Someone,182.1,174"
"54,dante11,179.6,134"
"55,YaeMikohornypics,179.3,1103"
"56,[wire]vore,179.2,134"
"57,[No0B]iOSUser194,179.1,1334"
"58,[Soyjak]Soyggdrasil,179.1,609"
"59,[IND]heaeawa,179.0,320"
"60,[WAIFU]RengeMiyauchi,178.9,321"
"61,Player900,178.7,214"
"62,[VICE]Alpha,176.7,105"
